episode,frame,reference,rapidocr_prediction,rapidocr_latency_ms,rapidocr_v5_mobile_prediction,rapidocr_v5_mobile_latency_ms,rapidocr_v5_server_prediction,rapidocr_v5_server_latency_ms,rapidocr_v6_medium_prediction,rapidocr_v6_medium_latency_ms
short_ghost5,short_ghost5_frame_009.png,勿扰阳间,勿扰阳间,1198,勿扰阳间,852,勿扰阳间,4227,勿扰阳间,4585
short_ghost5,short_ghost5_frame_010.png,还不错,还不错,1050,还不错,616,还不错,4335,还不错,4644
short_ghost5,short_ghost5_frame_011.png,就是承诺,就是承诺,1130,就是承诺,985,就是承诺,4244,就是承诺,4508
short_ghost5,short_ghost5_frame_012.png,可惜了,可期了可惜了,1150,可期了可惜了,1005,可期了可惜了,4644,可期了可惜了,4754
short_ghost5,short_ghost5_frame_013.png,一年下来,一年下来,1089,一年下来,952,一年下来,4459,一年下来,4606
short_ghost5,short_ghost5_frame_014.png,应该...,应该...,1125,应该.,826,G应该....,5601,C应该...,4990
short_ghost5,short_ghost5_frame_015.png,天清地宁,天清地宁,1052,天清地宁,1010,天清地宁,4581,天清地宁,4710
short_ghost5,short_ghost5_frame_016.png,此间幽冥,此间幽冥,1103,此间幽冥,934,此间幽冥,5021,此间幽冥,4640
short_ghost5,short_ghost5_frame_017.png,旧债未明,旧债未明,1072,旧债未明,1068,旧债未明,4281,旧债未明,4506
short_ghost5,short_ghost5_frame_018.png,暂慰魂灵,暂慰魂灵,1077,暂慰魂灵,1083,暂慰魂灵,4550,暂慰魂灵,4511
short_ghost5,short_ghost5_frame_019.png,各寻缘法,各寻缘法,1093,各寻缘法,961,各寻缘法,4488,各寻缘法,4531
short_ghost5,short_ghost5_frame_020.png,咦,家心咦'吧,1066,咦,1023,安心咦路吧,4135,安心咦路吧,4581
short_ghost5,short_ghost5_frame_021.png,不认识,不认识,1063,不认识,924,不认识,4555,不认识,4650
short_ghost5,short_ghost5_frame_022.png,别贫了,清婉之之別贫了,1130,清搅之之别贫了,974,清婉之之别贫了,4953,清婉之之別贫了,4920
short_ghost5,short_ghost5_frame_023.png,香火无碍,香火无碍,1188,香火无碍,959,香火无碍,4849,香火无碍,4702
short_ghost5,short_ghost5_frame_024.png,谢,谢,1072,谢,805,谢,4889,,4590
short_wudang7,short_wudang7_frame_001.png,一,,1125,,1061,一,4602,一,5106
short_wudang7,short_wudang7_frame_002.png,啊,啊,602,啊,1001,啊,4817,啊,4843
short_wudang7,short_wudang7_frame_003.png,啊,啊,1121,啊,968,啊,4705,啊,4886
short_wudang7,short_wudang7_frame_004.png,啊,啊,1128,啊,1008,啊,4292,啊,4809
short_wudang7,short_wudang7_frame_005.png,啊,啊,1180,啊,936,-啊,4718,啊,4822
short_wudang7,short_wudang7_frame_006.png,五十个,五十个,1134,五十个,993,五十个,4238,五十个,4867
short_wudang7,short_wudang7_frame_007.png,啊,啊,1151,啊,968,啊,5066,啊,4869
short_wudang7,short_wudang7_frame_008.png,那好吧,那好吧,1080,那好吧,949,那好吧,4278,那好吧,4880
short_wudang7,short_wudang7_frame_009.png,苏总,苏总,765,苏总,993,苏总,4299,苏总,4803
short_wudang7,short_wudang7_frame_010.png,哟,哟,1195,哟,965,哟,5246,哟,4848
short_wudang7,short_wudang7_frame_011.png,生气了,生气了,1134,生气了,914,生气了,4350,生气了,4903
short_wudang7,short_wudang7_frame_012.png,这地,,1019,这地,1046,这地,5412,这地,4783
short_wudang7,short_wudang7_frame_013.png,沈总,沈总,499,沈总,903,沈总,4493,沈总,4834
short_wudang7,short_wudang7_frame_014.png,臭鱼烂虾,臭鱼烂虾,1045,臭鱼烂虾,1132,臭鱼烂虾,4344,臭鱼烂虾,4715
short_wudang7,short_wudang7_frame_015.png,哈哈哈,哈哈哈,1132,哈哈哈,903,哈哈哈,4811,哈哈哈,4830
short_wudang7,short_wudang7_frame_016.png,爬出去吧,爬出去吧,1101,爬出去吧,1040,爬出去吧,4697,爬出去吧,4874
short_wudang7,short_wudang7_frame_017.png,拉你一把,拉你一把,1212,拉你把,861,拉你一把,4741,拉你一把,4776
short_wudang7,short_wudang7_frame_018.png,怎么,怎么,1000,怎么,1041,怎么,4285,怎么,4725
short_wudang7,short_wudang7_frame_019.png,我呸,我呸,1198,我呸,1019,我呸,4414,我呸,4823
short_wudang7,short_wudang7_frame_020.png,你,你,1108,你,947,你,4488,你,4841
short_wudang7,short_wudang7_frame_021.png,我答应你,我答应你,1045,我答应你,913,我答应你,4303,我答应你,4816
short_wudang7,short_wudang7_frame_022.png,你跟楚天,你跟楚天,1112,你跟楚天,945,你跟楚天,4246,你跟楚天,4927
short_wudang7,short_wudang7_frame_023.png,好,好,1076,好,877,好,4701,好,5051
short_wudang7,short_wudang7_frame_024.png,怎么赢我,怎么赢我,1191,怎么贏我,1074,怎么赢我,4303,怎么赢我,4747
